MouseID,Group,Study,0,15,30,45,60,90,120,150,180
1843,Lean,MC53,139,236,201,170,164,148,142,135,
1844,Obese,MC53,167,248,200,185,161,144,142,121,
1845,Obese,MC53,168,344,275,262,233,182,161,144,
1846,Obese,MC53,169,271,136,169,185,174,152,137,
1847,Obese,MC53,167,334,257,266,246,182,155,,
1848,Obese,MC53,169,282,260,230,222,187,161,142,
1849,Obese,MC53,149,231,165,160,169,155,132,126,
1850,Obese,MC53,148,297,217,193,185,160,130,146,
1851,Obese,MC53,165,367,276,257,231,179,160,156,
1856,WC,MC53,184,316,244,251,261,227,205,186,
1857,WC,MC53,201,278,281,278,232,217,160,144,
1858,WC,MC53,164,302,301,327,300,230,187,165,
1859,WC,MC53,139,240,210,190,181,144,136,122,
1864,WC,MC53,194,245,302,305,262,201,174,144,
1865,WC,MC53,194,297,309,307,277,229,203,152,
1866,WC,MC53,161,254,256,236,237,185,175,152,
1868,WL,MC53,124,152,167,144,134,113,96,83,
1869,WL,MC53,143,193,153,148,154,115,122,105,
1880,WL,MC53,109,121,102,114,104,90,98,100,
1871,WL,MC53,133,215,157,163,153,124,113,110,
1872,WL,MC53,126,187,163,148,142,122,127,115,
1873,WL,MC53,114,170,144,132,129,113,127,103,
1874,WL,MC53,71,81,83,84,59,65,64,58,
1875,WL,MC53,117,171,129,137,131,112,110,105,
1900,Lean,HLC90,107,205,159,144,142,106,100,,
1901,Lean,HLC90,111,250,209,176,160,142,133,,
1902,Lean,HLC90,110,210,174,160,149,141,117,,
1903,Lean,HLC90,72,186,164,140,118,100,90,,
1904,Lean,HLC90,131,280,266,213,199,145,140,,
1905,Lean,HLC90,91,167,160,129,126,123,114,,
1906,Lean,HLC90,87,160,158,151,141,110,110,,
1907,Lean,HLC90,70,256,220,171,144,140,121,,
1908,Lean,HLC90,97,194,178,148,148,138,120,,
1909,Lean,HLC90,103,287,223,195,184,152,134,,
1910,Lean,HLC90,140,212,219,207,184,148,132,,
1911,Lean,HLC90,105,202,176,171,134,106,107,,
1912,Obese,HLC90,130,259,215,191,194,139,134,,
1913,Obese,HLC90,184,403,369,360,320,245,180,,
1914,Obese,HLC90,168,305,214,209,238,165,158,,
1915,Obese,HLC90,131,229,208,203,198,164,154,,
1916,Obese,HLC90,226,382,400,424,414,279,275,,
1917,Obese,HLC90,168,282,280,280,258,202,165,,
1918,Obese,HLC90,183,324,369,410,399,330,221,,
1919,Obese,HLC90,196,342,334,315,307,292,228,,
1920,Obese,HLC90,186,284,276,246,238,178,185,,
1921,Obese,HLC90,203,369,356,312,291,253,180,,
1922,Obese,HLC90,179,257,211,190,188,174,157,,
1923,Obese,HLC90,222,351,275,275,259,223,201,,
1924,WL,HLC90,,,,,,,,,
1925,WL,HLC90,,,,,,,,,
1926,WL,HLC90,,,,,,,,,
1927,WL,HLC90,157,278,234,240,206,168,140,,
1928,WL,HLC90,106,166,140,141,126,104,100,,
1929,WL,HLC90,,,,,,,,,
1930,WL,HLC90,96,133,132,137,110,110,97,,
1931,WL,HLC90,111,187,156,173,150,150,120,,
1932,WL,HLC90,135,251,193,143,137,142,117,,
1933,WL,HLC90,134,218,196,144,128,154,,,
1934,WL,HLC90,67,180,156,125,118,95,77,,
1935,WL,HLC90,127,228,184,129,143,123,127,,
1936,WC,HLC90,166,334,332,227,300,234,157,,
1937,WC,HLC90,147,338,368,337,320,210,215,,
1938,WC,HLC90,172,356,349,327,301,244,188,,
1939,WC,HLC90,171,345,357,321,350,246,175,,
1940,WC,HLC90,219,435,378,402,372,310,281,,
1941,WC,HLC90,186,286,293,232,251,227,263,,
1942,WC,HLC90,171,330,289,248,219,191,161,,
1943,WC,HLC90,190,331,395,376,381,349,283,,
1944,WC,HLC90,204,375,374,356,342,316,293,,
1945,WC,HLC90,194,283,306,286,262,213,223,,
1946,WC,HLC90,173,341,395,300,248,220,189,,
1947,WC,HLC90,199,362,408,408,335,261,170,,
1275,Lean,HLC56,108,259,185,163,154,107,112,,
1276,Lean,HLC56,131,208,174,199,167,168,173,,
1277,Lean,HLC56,73,287,236,172,178,168,174,,
1278,Lean,HLC56,130,242,221,157,147,133,126,,
1279,Lean,HLC56,125,205,189,183,160,141,141,,
1280,Lean,HLC56,75,210,158,133,131,144,146,,
1281,Lean,HLC56,87,189,146,143,139,115,107,,
1282,Lean,HLC56,137,240,247,232,195,158,158,,
1283,Lean,HLC56,123,226,141,139,144,118,125,,
1284,Lean,HLC56,116,231,178,156,157,127,112,,
1285,Lean,HLC56,130,332,312,240,199,150,173,,
1286,Lean,HLC56,176,245,228,193,175,143,164,,
1287,Obese,HLC56,168,287,417,321,356,277,215,,
1288,Obese,HLC56,,,,,,,,,
1289,Obese,HLC56,147,216,219,190,186,184,173,,
1290,Obese,HLC56,286,425,438,480,461,332,323,,
1291,Obese,HLC56,149,292,346,385,373,312,348,,
1292,Obese,HLC56,,,,,,,,,
1293,Obese,HLC56,136,222,180,209,248,167,145,,
1294,Obese,HLC56,155,266,232,220,215,176,142,,
1295,Obese,HLC56,129,215,249,240,253,209,181,,
1296,Obese,HLC56,157,279,304,269,264,195,194,,
1297,Obese,HLC56,174,221,179,165,148,155,167,,
1298,Obese,HLC56,173,286,228,204,198,182,164,,
1299,WL,HLC56,186,141,149,109,113,120,135,,
1300,WL,HLC56,145,200,120,161,145,129,141,,
1301,WL,HLC56,113,224,187,172,154,111,97,,
1302,WL,HLC56,117,162,163,128,152,135,102,,
1303,WL,HLC56,108,185,146,163,150,165,135,,
1304,WL,HLC56,126,185,167,164,164,139,117,,
1305,WL,HLC56,125,207,210,176,173,140,157,,
1306,WL,HLC56,100,155,146,147,135,151,101,,
1307,WL,HLC56,109,216,186,154,136,112,96,,
1308,WL,HLC56,122,147,152,117,111,102,92,,
1309,WL,HLC56,174,208,185,171,160,146,139,,
1310,WL,HLC56,132,219,214,159,171,171,133,,
1311,WC,HLC56,156,308,304,321,259,230,224,,
1312,WC,HLC56,171,335,312,293,276,233,177,,
1313,WC,HLC56,185,312,264,235,231,204,192,,
1314,WC,HLC56,145,333,362,335,310,268,237,,
1315,WC,HLC56,213,479,521,506,484,411,372,,
1316,WC,HLC56,217,412,406,382,401,322,273,,
1317,WC,HLC56,170,402,405,389,354,287,252,,
1318,WC,HLC56,169,292,304,300,299,232,211,,
1319,WC,HLC56,194,455,403,419,403,422,439,,
1320,WC,HLC56,,,,,,,,,
1321,WC,HLC56,,,,,,,,,
1322,WC,HLC56,,,,,,,,,
