Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
66475,3.0,1,1,1
621823,3.0,1,1,1
66483,3.0,1,1,1
77987,3.0,1,1,1
66152,3.0,1,1,1
76303,3.0,1,1,1
18032,3.0,1,1,1
74840,3.0,1,1,1
30877,3.0,1,1,1
114641,3.0,1,1,1
12934,3.0,1,1,1
23879,3.0,1,1,1
18263,3.0,1,1,1
67186,3.0,1,1,1
70297,3.0,1,1,1
98415,3.0,1,1,1
15505,3.0,1,1,1
223435,3.0,1,1,1
192231,3.0,1,1,1
20482,3.0,1,1,1
226856,3.0,1,1,1
12916,3.0,1,1,1
209456,3.0,1,1,1
28193,3.0,1,1,1
19042,3.0,1,1,1
27370,3.0,1,1,1
56041,3.0,1,1,1
57808,3.0,1,1,1
67671,3.0,1,1,1
12444,3.0,1,1,1
14289,3.0,1,1,1
105689,3.0,1,1,1
211064,3.0,1,1,1
217980,3.0,1,1,1
20918,3.0,1,1,1
66576,3.0,1,1,1
14137,3.0,1,1,1
26451,3.0,1,1,1
224647,3.0,1,1,1
67996,3.0,1,1,1
65019,3.0,1,1,1
16974,3.0,1,1,1
71770,3.0,1,1,1
18413,3.0,1,1,1
22057,3.0,1,1,1
66091,3.0,1,1,1
21844,3.0,1,1,1
22325,3.0,1,1,1
18571,3.0,1,1,1
12995,3.0,1,1,1
69878,3.0,1,1,1
16835,3.0,1,1,1
21857,3.0,1,1,1
268449,3.0,1,1,1
56637,3.0,1,1,1
101943,3.0,1,1,1
108954,3.0,1,1,1
15902,3.0,1,1,1
246198,3.0,1,1,1
67281,3.0,1,1,1
11958,3.0,1,1,1
15950,3.0,1,1,1
11938,3.0,1,1,1
230075,3.0,1,1,1
14282,3.0,1,1,1
194388,3.0,1,1,1
17705,3.0,1,1,1
27425,3.0,1,1,1
67039,3.0,1,1,1
19225,3.0,1,1,1
12387,3.0,1,1,1
81702,3.0,1,1,1
238317,3.0,1,1,1
12455,3.0,1,1,1
19981,3.0,1,1,1
20194,3.0,1,1,1
16179,3.0,1,1,1
12925,3.0,1,1,1
17750,3.0,1,1,1
214627,3.0,1,1,1
21961,3.0,1,1,1
18712,3.0,1,1,1
66212,3.0,1,1,1
50754,3.0,1,1,1
20005,3.0,1,1,1
14784,3.0,1,1,1
81703,3.0,1,1,1
54405,3.0,1,1,1
225363,3.0,1,1,1
15251,3.0,1,1,1
19647,3.0,1,1,1
14104,3.0,1,1,1
16549,3.0,1,1,1
17127,3.0,1,1,1
19664,3.0,1,1,1
17132,3.0,1,1,1
54375,3.0,1,1,1
214290,3.0,1,1,1
19204,3.0,1,1,1
67530,3.0,1,1,1
74006,3.0,1,1,1
13690,3.0,1,1,1
12330,3.0,1,1,1
20335,3.0,1,1,1
93760,3.0,1,1,1
50772,3.0,1,1,1
60365,3.0,1,1,1
27362,3.0,1,1,1
18550,3.0,1,1,1
67972,3.0,1,1,1
384009,3.0,1,1,1
100033459,3.0,1,1,1
56619,3.0,1,1,1
74392,3.0,1,1,1
245126,3.0,1,1,1
216233,3.0,1,1,1
20088,3.0,1,1,1
19377,3.0,1,1,1
17719,3.0,1,1,1
16600,3.0,1,1,1
12282,3.0,1,1,1
11951,3.0,1,1,1
14660,3.0,1,1,1
19261,3.0,1,1,1
20116,3.0,1,1,1
56336,3.0,1,1,1
57259,3.0,1,1,1
67126,3.0,1,1,1
20128,3.0,1,1,1
214855,3.0,1,1,1
66489,3.0,1,1,1
15519,3.0,1,1,1
16402,3.0,1,1,1
66594,3.0,1,1,1
231070,3.0,1,1,1
268903,3.0,1,1,1
16798,3.0,1,1,1
12866,3.0,1,1,1
19877,3.0,1,1,1
77891,3.0,1,1,1
56449,3.0,1,1,1
13350,3.0,1,1,1
13063,3.0,1,1,1
18432,3.0,1,1,1
56403,3.0,1,1,1
17165,3.0,1,1,1
22027,3.0,1,1,1
15516,3.0,1,1,1
15381,3.0,1,1,1
13198,3.0,1,1,1
22201,3.0,1,1,1
319554,3.0,1,1,1
54217,3.0,1,1,1
26379,3.0,1,1,1
17250,3.0,1,1,1
11652,3.0,1,1,1
12856,3.0,1,1,1
21681,3.0,1,1,1
66441,3.0,1,1,1
68052,3.0,1,1,1
235293,3.0,1,1,1
26914,3.0,1,1,1
14828,3.0,1,1,1
70208,3.0,1,1,1
68268,3.0,1,1,1
252870,3.0,1,1,1
80750,3.0,1,1,1
230738,3.0,1,1,1
75423,2.0,1,0,1
22217,2.0,1,0,1
246727,2.0,1,1,0
