GeneID,value
ENSMUSG00000028270,-10.420678490991
ENSMUSG00000033213,-4.85275900900901
ENSMUSG00000009185,-5.85423704954955
ENSMUSG00000038037,-2.39604448198198
ENSMUSG00000068129,-2.62767454954955
ENSMUSG00000029304,50.2907516891892
ENSMUSG00000039899,-3.61599099099099
ENSMUSG00000017652,-1.56721565315315
ENSMUSG00000016496,-2.9926097972973
ENSMUSG00000030107,-1.43574042792793
ENSMUSG00000028832,1.44812781531532
ENSMUSG00000064373,21.691089527027
ENSMUSG00000024610,-37.6949605855856
ENSMUSG00000015854,5.85001407657658
ENSMUSG00000073421,-11.3194679054054
ENSMUSG00000038179,-3.01449887387387
ENSMUSG00000027639,-6.97008727477478
ENSMUSG00000030844,3.02266328828829
ENSMUSG00000031451,1.87000281531532
ENSMUSG00000028793,-1.59269425675676
ENSMUSG00000056758,0.721072635135135
ENSMUSG00000001403,0.39013231981982
ENSMUSG00000028480,-0.415188626126126
ENSMUSG00000022010,0.751407657657658
ENSMUSG00000038370,0.484163851351351
ENSMUSG00000037820,-1.04898648648649
ENSMUSG00000040204,0.37084740990991
ENSMUSG00000017493,0.773296734234234
ENSMUSG00000026360,2.47283220720721
ENSMUSG00000031129,0.427857545045045
ENSMUSG00000070858,0.49634009009009
ENSMUSG00000023913,-0.827280405405405
ENSMUSG00000026482,-1.05398367117117
ENSMUSG00000036390,0.547649211711712
ENSMUSG00000040229,0.393581081081081
ENSMUSG00000023505,0.306658220720721
ENSMUSG00000028044,0.302083333333333
ENSMUSG00000069516,65.8786599099099
ENSMUSG00000027111,0.35254786036036
ENSMUSG00000039109,0.265061936936937
ENSMUSG00000025993,1.04997184684685
ENSMUSG00000067212,-1.28406531531532
ENSMUSG00000028583,-0.291103603603604
ENSMUSG00000059824,0.605011261261261
ENSMUSG00000029373,15.5697494369369
ENSMUSG00000017716,0.344876126126126
ENSMUSG00000046432,0.468890765765766
ENSMUSG00000022150,1.27991272522523
ENSMUSG00000025154,0.355292792792793
ENSMUSG00000041058,1.42778716216216
ENSMUSG00000053687,1.51815878378378
ENSMUSG00000000982,1.68179898648649
ENSMUSG00000006462,-0.189470720720721
ENSMUSG00000026228,0.178490990990991
ENSMUSG00000078122,0.28807713963964
ENSMUSG00000003032,-0.402027027027027
ENSMUSG00000047747,0.288288288288288
ENSMUSG00000024177,0.385768581081081
ENSMUSG00000026357,0.36402027027027
ENSMUSG00000020914,0.290399774774775
ENSMUSG00000070323,0.191300675675676
ENSMUSG00000029860,-1.32777308558559
