GeneID,value
ENSMUSG00000035042,-151.325028153153
ENSMUSG00000061100,31.4720579954955
ENSMUSG00000075602,-17.489161036036
ENSMUSG00000040026,-13.9213823198198
ENSMUSG00000049723,20.3626829954955
ENSMUSG00000019987,19.3468468468468
ENSMUSG00000025498,-9.55159065315315
ENSMUSG00000034855,-4.70840371621622
ENSMUSG00000035692,-13.0002815315315
ENSMUSG00000075010,-32.9619932432432
ENSMUSG00000022126,-3.94066722972973
ENSMUSG00000079363,-3.70988175675676
ENSMUSG00000054072,-3.58030686936937
ENSMUSG00000029417,-3.3692286036036
ENSMUSG00000024675,-3.46276745495495
ENSMUSG00000041481,-3.2064329954955
ENSMUSG00000035186,-3.07355011261261
ENSMUSG00000046031,-4.02737894144144
ENSMUSG00000034459,-3.17778716216216
ENSMUSG00000040950,5.37070664414414
ENSMUSG00000040809,5.25218186936937
ENSMUSG00000041827,-2.57340934684685
ENSMUSG00000024397,-7.97128378378378
ENSMUSG00000028270,-10.201928490991
ENSMUSG00000078853,-3.12014358108108
ENSMUSG00000047222,4.01984797297297
ENSMUSG00000045932,-2.2212134009009
ENSMUSG00000020641,-5.00527871621622
ENSMUSG00000020826,-1.67891328828829
ENSMUSG00000105504,-1.69334177927928
ENSMUSG00000033355,-2.73564189189189
ENSMUSG00000020407,-1.71720157657658
ENSMUSG00000018927,20.8168637387387
ENSMUSG00000074896,-1.49985923423423
ENSMUSG00000024164,-1.66687781531532
ENSMUSG00000026712,2.60719313063063
ENSMUSG00000054203,-1.20382882882883
ENSMUSG00000022587,-6.55060529279279
ENSMUSG00000028238,6.3676097972973
ENSMUSG00000073555,-1.56608952702703
ENSMUSG00000030560,-4.94481981981982
ENSMUSG00000040264,-0.968820382882883
ENSMUSG00000026193,1.79328547297297
ENSMUSG00000040483,-1.99458051801802
ENSMUSG00000070427,-3.98029279279279
ENSMUSG00000030789,1.88492398648649
ENSMUSG00000006818,-8.59199042792793
ENSMUSG00000030142,-1.18932995495495
ENSMUSG00000023959,-0.904208896396396
ENSMUSG00000068245,-1.2220579954955
ENSMUSG00000024990,1.61958051801802
ENSMUSG00000091649,-2.15772804054054
ENSMUSG00000028268,-1.24725506756757
ENSMUSG00000027611,-0.989864864864865
ENSMUSG00000043263,-1.52111486486486
ENSMUSG00000078920,-1.47086148648649
ENSMUSG00000020638,-0.889428490990991
ENSMUSG00000024677,-1.3832347972973
ENSMUSG00000029561,-1.5332911036036
ENSMUSG00000039699,-0.934051238738739
ENSMUSG00000022901,-1.30630630630631
ENSMUSG00000034438,-0.92652027027027
ENSMUSG00000037805,8.81925675675676
ENSMUSG00000032661,-0.928209459459459
ENSMUSG00000053113,-0.784769144144144
ENSMUSG00000024401,-0.86866554054054
ENSMUSG00000022586,-0.655827702702703
ENSMUSG00000025790,-0.663780968468468
ENSMUSG00000017652,-1.49458051801802
ENSMUSG00000037849,-0.772663288288288
ENSMUSG00000015947,-2.58072916666667
ENSMUSG00000040253,-1.07573198198198
ENSMUSG00000066363,-0.62865990990991
ENSMUSG00000000386,-0.721002252252252
ENSMUSG00000090942,-0.643510698198198
ENSMUSG00000032487,-0.63182713963964
ENSMUSG00000053931,-0.722621058558559
ENSMUSG00000020053,8.92286036036036
ENSMUSG00000026536,-1.59473536036036
ENSMUSG00000060550,-1.56299268018018
ENSMUSG00000027514,-2.02815315315315
